Epoch 124    Validation MSELoss: 1.289604e-04    Training MSELoss: 8.984096e-05
Epoch 125    Validation MSELoss: 9.310443e-05    Training MSELoss: 9.486798e-05
Epoch 126    Validation MSELoss: 9.436788e-05    Training MSELoss: 9.451016e-05
Epoch 127    Validation MSELoss: 9.809668e-05    Training MSELoss: 9.502933e-05
Epoch 128    Validation MSELoss: 3.589094e-04    Training MSELoss: 9.297445e-05
Epoch 129    Validation MSELoss: 1.540218e-04    Training MSELoss: 8.989812e-05
Epoch 130    Validation MSELoss: 6.581850e-05    Training MSELoss: 9.327706e-05
Epoch 131    Validation MSELoss: 3.255557e-04    Training MSELoss: 9.696637e-05
Epoch 132    Validation MSELoss: 1.031529e-04    Training MSELoss: 9.443354e-05
Epoch 133    Validation MSELoss: 7.388942e-05    Training MSELoss: 9.648337e-05
Epoch 134    Validation MSELoss: 1.272207e-04    Training MSELoss: 1.017511e-04
Epoch 135    Validation MSELoss: 2.634318e-04    Training MSELoss: 1.014718e-04
Epoch 136    Validation MSELoss: 1.805310e-04    Training MSELoss: 9.831687e-05
Epoch 137    Validation MSELoss: 1.011257e-04    Training MSELoss: 9.484911e-05
Epoch 138    Validation MSELoss: 4.969874e-04    Training MSELoss: 9.394834e-05
Epoch 139    Validation MSELoss: 8.164386e-05    Training MSELoss: 1.038365e-04
Epoch 140    Validation MSELoss: 1.500410e-04    Training MSELoss: 9.860254e-05
Epoch 141    Validation MSELoss: 1.340430e-04    Training MSELoss: 9.770349e-05
Epoch 142    Validation MSELoss: 1.201701e-04    Training MSELoss: 1.032986e-04
Epoch 143    Validation MSELoss: 8.874101e-05    Training MSELoss: 1.034777e-04
Epoch 144    Validation MSELoss: 1.074850e-04    Training MSELoss: 9.955742e-05
Epoch 145    Validation MSELoss: 2.022959e-04    Training MSELoss: 9.364642e-05
Epoch 146    Validation MSELoss: 2.464839e-04    Training MSELoss: 9.390066e-05
Epoch 147    Validation MSELoss: 1.355102e-04    Training MSELoss: 1.059923e-04
Epoch 148    Validation MSELoss: 8.359294e-05    Training MSELoss: 1.014010e-04
Epoch 149    Validation MSELoss: 8.217965e-05    Training MSELoss: 9.830311e-05
Epoch 150    Validation MSELoss: 1.410356e-04    Training MSELoss: 1.037368e-04
Epoch 151    Validation MSELoss: 9.524790e-05    Training MSELoss: 9.594194e-05
Epoch 152    Validation MSELoss: 3.790726e-04    Training MSELoss: 9.637277e-05
Epoch 153    Validation MSELoss: 1.067249e-04    Training MSELoss: 1.062525e-04
Epoch 154    Validation MSELoss: 1.612905e-04    Training MSELoss: 8.760406e-05
Epoch 155    Validation MSELoss: 1.572133e-04    Training MSELoss: 9.575232e-05
Epoch 156    Validation MSELoss: 2.362997e-04    Training MSELoss: 1.016377e-04
Epoch 157    Validation MSELoss: 1.239350e-04    Training MSELoss: 1.049858e-04
Epoch 158    Validation MSELoss: 9.763630e-05    Training MSELoss: 1.046008e-04
Epoch 159    Validation MSELoss: 1.141180e-04    Training MSELoss: 1.014851e-04
Epoch 160    Validation MSELoss: 2.261422e-04    Training MSELoss: 1.132971e-04
Epoch 161    Validation MSELoss: 2.476462e-04    Training MSELoss: 9.961240e-05
Epoch 162    Validation MSELoss: 1.391159e-04    Training MSELoss: 1.014102e-04
Epoch 163    Validation MSELoss: 1.119208e-04    Training MSELoss: 1.040485e-04
Epoch 164    Validation MSELoss: 1.736203e-04    Training MSELoss: 1.057745e-04
Epoch 165    Validation MSELoss: 8.031357e-05    Training MSELoss: 9.714519e-05
Epoch 166    Validation MSELoss: 1.515028e-04    Training MSELoss: 1.025004e-04
Epoch 167    Validation MSELoss: 7.826588e-05    Training MSELoss: 1.304851e-04
Epoch 168    Validation MSELoss: 3.792573e-04    Training MSELoss: 1.102388e-04
Epoch 169    Validation MSELoss: 1.741341e-04    Training MSELoss: 1.006890e-04
Epoch 170    Validation MSELoss: 9.347279e-05    Training MSELoss: 1.012504e-04
Epoch 171    Validation MSELoss: 3.071250e-04    Training MSELoss: 1.057757e-04
Epoch 172    Validation MSELoss: 1.181460e-04    Training MSELoss: 1.074112e-04
Epoch 173    Validation MSELoss: 3.892348e-04    Training MSELoss: 1.086804e-04
Epoch 174    Validation MSELoss: 2.153455e-04    Training MSELoss: 1.140912e-04
Epoch 175    Validation MSELoss: 1.374420e-04    Training MSELoss: 1.027345e-04
Epoch 176    Validation MSELoss: 9.201995e-05    Training MSELoss: 1.120152e-04
Epoch 177    Validation MSELoss: 1.008485e-04    Training MSELoss: 1.052780e-04
Epoch 178    Validation MSELoss: 1.737751e-04    Training MSELoss: 9.759975e-05
Epoch 179    Validation MSELoss: 9.356269e-05    Training MSELoss: 1.127968e-04
Epoch 180    Validation MSELoss: 1.206963e-04    Training MSELoss: 1.016064e-04
Epoch 181    Validation MSELoss: 1.328631e-04    Training MSELoss: 1.123983e-04
Epoch 182    Validation MSELoss: 2.094065e-04    Training MSELoss: 1.021208e-04
Epoch 183    Validation MSELoss: 1.153686e-04    Training MSELoss: 1.105004e-04
Epoch 184    Validation MSELoss: 2.312810e-04    Training MSELoss: 1.036465e-04
Epoch 185    Validation MSELoss: 1.386090e-04    Training MSELoss: 1.061486e-04
Epoch 186    Validation MSELoss: 2.668528e-04    Training MSELoss: 1.055049e-04
Epoch 187    Validation MSELoss: 1.033331e-04    Training MSELoss: 1.317757e-04
Epoch 188    Validation MSELoss: 1.462024e-04    Training MSELoss: 1.084000e-04
Epoch 189    Validation MSELoss: 1.291296e-04    Training MSELoss: 1.069239e-04
Epoch 190    Validation MSELoss: 1.326976e-04    Training MSELoss: 1.138045e-04
Epoch 191    Validation MSELoss: 9.103624e-05    Training MSELoss: 1.058594e-04
Epoch 192    Validation MSELoss: 1.080744e-04    Training MSELoss: 1.154918e-04
Epoch 193    Validation MSELoss: 1.443570e-04    Training MSELoss: 1.030332e-04
Epoch 194    Validation MSELoss: 2.338896e-04    Training MSELoss: 1.050727e-04
Epoch 195    Validation MSELoss: 1.250954e-04    Training MSELoss: 1.245097e-04
Epoch 196    Validation MSELoss: 2.720123e-04    Training MSELoss: 1.221078e-04
Epoch 197    Validation MSELoss: 1.112775e-04    Training MSELoss: 1.155881e-04
Epoch 198    Validation MSELoss: 1.429743e-04    Training MSELoss: 1.117951e-04
Epoch 199    Validation MSELoss: 8.500551e-05    Training MSELoss: 1.059243e-04
Epoch 200    Validation MSELoss: 1.754225e-04    Training MSELoss: 1.039180e-04
Epoch 201    Validation MSELoss: 1.572746e-04    Training MSELoss: 1.092373e-04
Epoch 202    Validation MSELoss: 1.169242e-04    Training MSELoss: 1.103068e-04
Epoch 203    Validation MSELoss: 1.606491e-04    Training MSELoss: 1.210201e-04
Epoch 204    Validation MSELoss: 8.633062e-05    Training MSELoss: 1.117343e-04
Epoch 205    Validation MSELoss: 2.287126e-04    Training MSELoss: 1.149615e-04
Epoch 206    Validation MSELoss: 2.090148e-04    Training MSELoss: 1.151756e-04
Epoch 207    Validation MSELoss: 1.212927e-04    Training MSELoss: 1.224642e-04
Epoch 208    Validation MSELoss: 3.367638e-04    Training MSELoss: 1.151978e-04
Epoch 209    Validation MSELoss: 2.170972e-04    Training MSELoss: 1.345057e-04
Epoch 210    Validation MSELoss: 4.632488e-04    Training MSELoss: 1.184347e-04
Epoch 211    Validation MSELoss: 2.424562e-04    Training MSELoss: 1.286336e-04
